Site,Lecture_name,Rate,Tag,Language,Level,Teacher,Rate_count,Origin_price,New_price,Url
Inflearn,스프링 DB 2편 - 데이터 접근 활용 기술,4.986784140969163,"백엔드,웹 개발",Spring,초급,김영한,227,99000,99000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-db-2
Inflearn,스프링 MVC 2편 - 백엔드 웹 개발 활용 기술,4.976816074188562,"백엔드,웹 개발","MVC,Spring",초급,김영한,647,121000,121000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-mvc-2
Inflearn,모든 개발자를 위한 HTTP 웹 기본 지식,4.9681372549019605,"웹 개발,네트워크,교양 · 기타",네트워크,초급,김영한,2448,44000,44000,https://www.inflearn.com/course/http-%EC%9B%B9-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC
Inflearn,HTML+CSS+JS 포트폴리오 실전 퍼블리싱(시즌1),4.937984496124031,"프론트엔드,웹 퍼블리싱","HTML/CSS,jQuery",초급,코딩웍스(Coding Works),129,46200,46200,https://www.inflearn.com/course/%EC%9B%B9-%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%8B%B1-%EC%9D%B4%EB%A1%A0-%EC%8B%A4%EC%A0%84
Inflearn,애플 웹사이트 인터랙션 클론!,4.959183673469388,"프론트엔드,웹 퍼블리싱","인터랙티브 웹,클론코딩,JavaScript,SVG,HTML/CSS,웹 디자인",중급이상,1분코딩,196,77000,77000,https://www.inflearn.com/course/%EC%95%A0%ED%94%8C-%EC%9B%B9%EC%82%AC%EC%9D%B4%ED%8A%B8-%EC%9D%B8%ED%84%B0%EB%9E%99%EC%85%98-%ED%81%B4%EB%A1%A0
Inflearn,프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),4.731070496083551,프로그래밍 언어,Python,입문,인프런,766,33000,33000,https://www.inflearn.com/course/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9E%85%EB%AC%B8-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90
Inflearn,it 취업을 위한 알고리즘 문제풀이 입문 (with C/C++) : 코딩테스트 대비,4.902439024390244,"알고리즘 · 자료구조,프로그래밍 언어","C++,코딩 테스트",입문,김태원,123,77000,77000,https://www.inflearn.com/course/%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98
Inflearn,스프링 기반 REST API 개발,4.719387755102041,백엔드,"Spring,REST API,Java",중급이상,백기선,196,99000,99000,https://www.inflearn.com/course/spring_rest-api
Inflearn,모두를 위한 모두의 EVM 블록체인 BApp 개발 - 입문,0,"블록체인,교양 · 기타","블록체인,Smart Contract,NFT",입문,모영철,0,99000,99000,https://www.inflearn.com/course/%EB%AA%A8%EB%91%90%EC%9D%98-evm-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-bapp-%EA%B0%9C%EB%B0%9C
Inflearn,CloudNet@와 함께하는 AWS 네트워킹 입문,5,"클라우드,네트워크,데브옵스 · 인프라","AWS,네트워크",입문,Ongja_CloudNet@,3,61600,61600,https://www.inflearn.com/course/cloudneta-aws-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%82%B9-%EC%9E%85%EB%AC%B8
Inflearn,스프링 부트 - 핵심 원리와 활용,5,"백엔드,웹 개발","Spring Boot,Spring,spring-boot-actuator,Prometheus,grafana",초급,김영한,83,99000,99000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-%ED%95%B5%EC%8B%AC%EC%9B%90%EB%A6%AC-%ED%99%9C%EC%9A%A9
Inflearn,자바 기초부터 마스터하기 with 은종쌤 (Do it 자바 프로그래밍 입문) - Part 2(마스터편),5,프로그래밍 언어,"Java,객체지향,알고리즘",초급,박은종,5,33000,33000,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EA%B8%B0%EC%B4%88-%EB%A7%88%EC%8A%A4%ED%84%B0-2
Inflearn,자바 코딩테스트 - it 대기업 대비,0,"알고리즘 · 자료구조,프로그래밍 언어","Java,코딩 테스트",초급,김태원,0,88000,88000,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%B5%9C%EC%8B%A0%EA%B8%B0%EC%B6%9C
Inflearn,[개정3판] Node.js 교과서 - 기본부터 프로젝트 실습까지,4.8,"백엔드,웹 개발","Node.js,Express,MySQL,MongoDB,Socket.io,JWT,TypeScript",초급,조현영,5,49500,49500,https://www.inflearn.com/course/%EB%85%B8%EB%93%9C-js-%EA%B5%90%EA%B3%BC%EC%84%9C
Inflearn,수학 없이 시작하는 인공지능 첫걸음: 기초부터 최신 트렌드까지,4.666666666666667,"인공지능,데이터 사이언스","머신러닝,딥러닝",입문,김지훈,12,77000,77000,https://www.inflearn.com/course/%EC%88%98%ED%95%99%EC%97%86%EC%9D%B4-%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%B2%AB%EA%B1%B8%EC%9D%8C
Inflearn,[인프런x코드캠프] 부트캠프에서 만든 고농축 백엔드 코스,4.8076923076923075,"백엔드,웹 개발","NestJS,Node.js,JavaScript,Docker,TDD,Express,REST API",입문,코드캠프,26,396000,396000,https://www.inflearn.com/course/%EB%B6%80%ED%8A%B8%EC%BA%A0%ED%94%84-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B3%A0%EB%86%8D%EC%B6%95-%EC%BD%94%EC%8A%A4
Inflearn,[인프런x코드캠프] 부트캠프에서 만든 고농축 프론트엔드 코스,4.885714285714286,"프론트엔드,웹 개발","React,Next.js,GraphQL,SEO,Node.js",입문,코드캠프,35,396000,396000,https://www.inflearn.com/course/%EB%B6%80%ED%8A%B8%EC%BA%A0%ED%94%84-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B3%A0%EB%86%8D%EC%B6%95-%EC%BD%94%EC%8A%A4
Inflearn,웹 애니메이션을 위한 GSAP 가이드 Part.01,5,"프론트엔드,웹 퍼블리싱","gsap,인터랙티브 웹,JavaScript,HTML/CSS",초급,범쌤 ,13,44000,44000,https://www.inflearn.com/course/%EC%9B%B9-%EC%95%A0%EB%8B%88%EB%A7%A4%EC%9D%B4%EC%85%98-gsap-1
Inflearn,[중급편] 코인 가격 모니터링 앱 제작 (Android Kotlin),5,모바일 앱 개발,"Kotlin,Android",중급이상,개복치개발자,10,66000,66000,https://www.inflearn.com/course/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A7%81%EC%95%B1
Inflearn,[인프런x코드캠프] 훈훈한 Javascript,4.857142857142857,"프로그래밍 언어,웹 개발",JavaScript,입문,코드캠프,42,22000,22000,https://www.inflearn.com/course/%ED%9B%88%ED%9B%88%ED%95%9C-%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EC%BD%94%EB%93%9C%EC%BA%A0%ED%94%84
Inflearn,[인프런x코드캠프] 시작은 프리캠프,4.864406779661017,"웹 개발,프론트엔드","HTML/CSS,JavaScript",입문,코드캠프,59,22000,22000,https://www.inflearn.com/course/%EC%8B%9C%EC%9E%91-%ED%94%84%EB%A6%AC%EC%BA%A0%ED%94%84-%EC%BD%94%EB%93%9C%EC%BA%A0%ED%94%84
Inflearn,곰책으로 쉽게 배우는 최소한의 운영체제론,5,"교양 · 기타,시스템",운영체제,입문,널널한 개발자,11,11000,11000,https://www.inflearn.com/course/%EA%B3%B0%EC%B1%85-%EC%89%BD%EA%B2%8C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C
Inflearn,넓고 얕게 외워서 컴공 전공자 되기,5,"교양 · 기타,알고리즘 · 자료구조",운영체제,입문,널널한 개발자,51,66000,66000,https://www.inflearn.com/course/%EB%84%93%EA%B3%A0%EC%96%95%EA%B2%8C-%EC%BB%B4%EA%B3%B5-%EC%A0%84%EA%B3%B5%EC%9E%90
Inflearn,[실전 게임 코드 리뷰] 유니티 캐주얼 게임 (엘리스팡),5,"게임 프로그래밍,게임 개발","Unity,C#,Addressable Asset System",중급이상,Rookiss,10,110000,110000,https://www.inflearn.com/course/%EC%8B%A4%EC%A0%84%EA%B2%8C%EC%9E%84-%EC%BD%94%EB%93%9C%EB%A6%AC%EB%B7%B0-%EC%9C%A0%EB%8B%88%ED%8B%B0-%EC%BA%90%EC%A3%BC%EC%96%BC
Inflearn,카프카 완벽 가이드 - 코어편,5,"데이터 수집 · 처리,데브옵스 · 인프라,데이터 사이언스,백엔드","Kafka,데이터 엔지니어링",중급이상,권 철민,22,99000,99000,https://www.inflearn.com/course/%EC%B9%B4%ED%94%84%EC%B9%B4-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C-%EC%BD%94%EC%96%B4
Inflearn,"따라하며 배우는 노드, 리액트 시리즈 - 레딧 사이트 만들기(NextJS)",4.5,"풀스택,프론트엔드,백엔드,웹 개발","클론코딩,Node.js,React,Next.js,TypeScript,Docker,PostgreSQL",초급,John Ahn,10,44000,44000,https://www.inflearn.com/course/%EB%94%B0%EB%9D%BC%ED%95%98%EB%8A%94-%EB%A0%88%EB%94%A7
Inflearn,실전! 코틀린과 스프링 부트로 도서관리 애플리케이션 개발하기 (Java 프로젝트 리팩토링),4.920634920634921,"백엔드,프로그래밍 언어","Kotlin,Spring Boot,Java,리팩토링,Spring",초급,최태현,63,77000,77000,https://www.inflearn.com/course/java-to-kotlin-2
Inflearn,따라하며 배우는 리액트 A-Z,4.794871794871795,"프론트엔드,웹 개발","React,Next.js,TypeScript,TDD,Redux",초급,John Ahn,39,55000,55000,https://www.inflearn.com/course/%EB%94%B0%EB%9D%BC%ED%95%98%EB%8A%94-%EB%A6%AC%EC%95%A1%ED%8A%B8
Inflearn,"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",4.930555555555555,모바일 앱 개발,"Flutter,하이브리드 앱",중급이상,코드팩토리,72,132000,132000,https://www.inflearn.com/course/%ED%94%8C%EB%9F%AC%ED%84%B0-%EC%8B%A4%EC%A0%84
Inflearn,배달앱 클론코딩 [with React Native],4.944444444444445,모바일 앱 개발,React Native,중급이상,조현영,36,71500,71500,https://www.inflearn.com/course/%EB%B0%B0%EB%8B%AC%EC%95%B1-%EB%A6%AC%EC%95%A1%ED%8A%B8-%EB%84%A4%EC%9D%B4%ED%8B%B0%EB%B8%8C
Inflearn,실제 이력서 사례로 알아보는 [합격하는 이력서] 작성 가이드,4.958041958041958,"취업 · 이직,교양 · 기타","이력서,면접",입문,워니,143,49500,49500,https://www.inflearn.com/course/%ED%95%A9%EA%B2%A9%ED%95%98%EB%8A%94-%EC%9D%B4%EB%A0%A5%EC%84%9C-%EC%9E%91%EC%84%B1-%EA%B0%80%EC%9D%B4%EB%93%9C
Inflearn,"최고의 프론트엔드 CSS Frameworks, UIkit",5,"프론트엔드,웹 퍼블리싱,웹 개발","HTML/CSS,포트폴리오",초급,코딩웍스(Coding Works),7,49500,49500,https://www.inflearn.com/course/css-%ED%94%84%EB%A0%88%EC%9E%84%EC%9B%8C%ED%81%AC-uikit-%EC%BD%94%EB%94%A9%EC%9B%8D%EC%8A%A4
Inflearn,스파크 머신러닝 완벽 가이드 - Part 1,4.857142857142857,"데이터 분석,인공지능,데이터 사이언스,데이터 수집 · 처리,데이터베이스","Apache Spark,머신러닝,빅데이터,데이터 엔지니어링",중급이상,권 철민,14,99000,99000,https://www.inflearn.com/course/%EC%8A%A4%ED%8C%8C%ED%81%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EA%B0%80%EC%9D%B4%EB%93%9C1
Inflearn,스프링 핵심 원리 - 고급편,4.976580796252928,"백엔드,웹 개발","Spring,디자인 패턴",중급이상,김영한,427,121000,121000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%ED%95%B5%EC%8B%AC-%EC%9B%90%EB%A6%AC-%EA%B3%A0%EA%B8%89%ED%8E%B8
Inflearn,코딩으로 학습하는 GoF의 디자인 패턴,4.843283582089552,"교양 · 기타,프로그래밍 언어,개발 도구","디자인 패턴,Java",초급,백기선,134,88000,88000,https://www.inflearn.com/course/%EB%94%94%EC%9E%90%EC%9D%B8-%ED%8C%A8%ED%84%B4
Inflearn,파이썬/장고 웹서비스 개발 완벽 가이드 with 리액트,4.898305084745763,"풀스택,웹 개발","Python,Django,React,Docker",초급,이진석,59,220000,220000,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9E%A5%EA%B3%A0-%EC%9B%B9%EC%84%9C%EB%B9%84%EC%8A%A4
Inflearn,Slack 클론 코딩[백엔드 with NestJS + TypeORM],4.662162162162162,백엔드,"NestJS,TypeORM,Express,Node.js",중급이상,조현영,74,44000,44000,https://www.inflearn.com/course/%EC%8A%AC%EB%9E%99%ED%81%B4%EB%A1%A0%EC%BD%94%EB%94%A9-%EB%B0%B1%EC%97%94%EB%93%9C
Inflearn,[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),4.830508474576271,모바일 앱 개발,"Android,Kotlin,Firebase",입문,개복치개발자,118,24200,24200,https://www.inflearn.com/course/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EB%AA%A8%EB%B0%94%EC%9D%BC%EC%95%B1
Inflearn,파이썬 증권 데이터 수집과 분석으로 신호와 소음 찾기,4.909090909090909,"데이터 분석,데이터 사이언스,데이터 수집 · 처리,데이터 시각화","Python,Plotly,Pandas,Numpy,Seaborn,웹 스크래핑,Matplotlib,웹 크롤링",초급,박조은,77,89100,89100,https://www.inflearn.com/course/%EC%A6%9D%EA%B6%8C%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%88%98%EC%A7%91-%EB%B6%84%EC%84%9D
Inflearn,고수가 되는 파이썬 : 동시성과 병렬성 문법 배우기 Feat. 멀티스레딩 vs 멀티프로세싱 (Inflearn Original),4.7,프로그래밍 언어,"Python,동시성",중급이상,인프런,60,60500,60500,https://www.inflearn.com/course/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%99%84%EC%84%B1-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90
Inflearn,초보를 위한 쿠버네티스 안내서,4.89261744966443,"데브옵스 · 인프라,백엔드","Kubernetes,Docker",초급,subicura,149,49500,49500,https://www.inflearn.com/course/%EC%BF%A0%EB%B2%84%EB%84%A4%ED%8B%B0%EC%8A%A4-%EC%9E%85%EB%AC%B8
Inflearn,반응형 웹사이트 포트폴리오(Architecture Agency),5,"웹 퍼블리싱,프론트엔드,웹 개발","HTML/CSS,jQuery,웹 디자인,반응형 웹",중급이상,코딩웍스(Coding Works),43,61600,61600,https://www.inflearn.com/course/%EB%B0%98%EC%9D%91%ED%98%95-%EC%9B%B9%EC%82%AC%EC%9D%B4%ED%8A%B8-%ED%8F%AC%ED%8A%B8%ED%8F%B4%EB%A6%AC%EC%98%A4-%EC%9B%B9%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%8B%B1
Inflearn,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part4: 게임 서버,4.94,"게임 프로그래밍,백엔드,게임 개발","C#,Unity,네트워크",중급이상,Rookiss,150,88000,88000,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-mmorpg-%EA%B0%9C%EB%B0%9C-part4
Inflearn,코딩테스트 실전 모의고사(with C++) : 대기업 대비,4.916666666666667,"알고리즘 · 자료구조,프로그래밍 언어","코딩 테스트,C++",중급이상,김태원,12,77000,77000,https://www.inflearn.com/course/%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%8B%A4%EC%A0%84%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%ED%8C%8C%ED%8A%B81
Inflearn,실전! 스프링 데이터 JPA,4.971153846153846,"백엔드,웹 개발","Java,Spring,Spring Boot,JPA",중급이상,김영한,624,88000,88000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%EB%8D%B0%EC%9D%B4%ED%84%B0-JPA-%EC%8B%A4%EC%A0%84
Inflearn,파이썬 알고리즘 문제풀이 입문 (코딩테스트 대비),4.8125,"알고리즘 · 자료구조,프로그래밍 언어","Python,코딩 테스트",입문,김태원,160,77000,77000,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4-%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8
Inflearn,[개정판] 파이썬 머신러닝 완벽 가이드,4.882165605095541,"인공지능,데이터 사이언스","Python,머신러닝,통계",초급,권 철민,314,99000,99000,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C
Inflearn,실전! 스프링 부트와 JPA 활용2 - API 개발과 성능 최적화,4.981672394043528,"백엔드,웹 개발","Java,Spring,Spring Boot,JPA",중급이상,김영한,873,88000,88000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-JPA-API%EA%B0%9C%EB%B0%9C-%EC%84%B1%EB%8A%A5%EC%B5%9C%EC%A0%81%ED%99%94
Inflearn,공공데이터로 파이썬 데이터 분석 시작하기,4.875,"데이터 분석,데이터 사이언스","Python,Pandas,Numpy",초급,박조은,288,66000,66000,https://www.inflearn.com/course/%EA%B3%B5%EA%B3%B5%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%A1%9C-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EC%8B%9C%EC%9E%91%ED%95%98%EA%B8%B0
Inflearn,스프링부트 JUnit 테스트 - 시큐리티를 활용한 Bank 애플리케이션,5,"백엔드,웹 개발","JUnit,Spring Boot",초급,최주호,5,66000,66000,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-junit-%ED%85%8C%EC%8A%A4%ED%8A%B8
Inflearn,습관부터 바꿔주는 Node.js & Express 기초,4.2,"백엔드,웹 개발","Node.js,Express",초급,MayB,5,44000,44000,https://www.inflearn.com/course/%EC%8A%B5%EA%B4%80%EB%B6%80%ED%84%B0-%EB%85%B8%EB%93%9C-%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4-%EA%B8%B0%EC%B4%88
Inflearn,나도코딩의 자바 기본편 - 풀코스 (20시간),4.966666666666667,프로그래밍 언어,"Java,객체지향",입문,나도코딩,90,71500,71500,https://www.inflearn.com/course/%EB%82%98%EB%8F%84%EC%BD%94%EB%94%A9-%EC%9E%90%EB%B0%94-%EA%B8%B0%EB%B3%B8
Inflearn,토비의 스프링 부트 - 이해와 원리,4.988235294117647,"백엔드,웹 개발","Spring Boot,Spring,spring-jdbc",초급,토비,170,99000,99000,https://www.inflearn.com/course/%ED%86%A0%EB%B9%84-%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-%EC%9D%B4%ED%95%B4%EC%99%80%EC%9B%90%EB%A6%AC
Inflearn,"[퇴근후딴짓] 빅데이터 분석기사 실기 (작업형1,2,3)",5,"자격증,데이터 분석,데이터 사이언스","빅데이터분석기사,빅데이터,Python,Pandas,머신러닝",입문,퇴근후딴짓,3,99000,99000,https://www.inflearn.com/course/%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B8%B0%EC%82%AC-%EC%8B%A4%EA%B8%B0
Inflearn,"따라하며 배우는 HTML, CSS",5,"웹 개발,웹 퍼블리싱",HTML/CSS,입문,John Ahn,4,27500,27500,https://www.inflearn.com/course/%EB%94%B0%EB%9D%BC%ED%95%98%EB%A9%B0-%EB%B0%B0%EC%9A%B0%EB%8A%94-html-css
Inflearn,Java/Spring 주니어 개발자를 위한 오답노트,4.888888888888889,"백엔드,교양 · 기타","Java,Spring,객체지향",초급,김우근,18,84700,84700,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EC%8A%A4%ED%94%84%EB%A7%81-%EC%A3%BC%EB%8B%88%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%98%A4%EB%8B%B5%EB%85%B8%ED%8A%B8
Inflearn,실리콘밸리 엔지니어가 가르치는 파이썬 기초부터 고급까지,5,프로그래밍 언어,"Python,알고리즘",입문,Seungjoon Lee,5,60500,60500,https://www.inflearn.com/course/%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B0%B8%EB%A6%AC-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EC%B4%88%EB%B6%80%ED%84%B0-%EA%B3%A0%EA%B8%89%EA%B9%8C%EC%A7%80
Inflearn,ChatGPT 100% 활용하여 배우는 파이썬 기초 A to Z,5,"프로그래밍 언어,알고리즘 · 자료구조","Python,알고리즘,ChatGPT",입문,고카,4,44000,44000,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EC%B4%88-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4-%EA%B5%90%EC%96%91%EC%8B%9C%ED%97%98
